position,title
Q1535372,Minister of State
Q66765037,ambassador to Hungary
Q111904262,ambassador to Mozambique
Q28801902,member of the Provincial Executive of Drenthe
Q84770368,member of the Provincial Executive of Flevoland
Q28801901,member of the Provincial Executive of Friesland
Q27949161,member of the Provincial Executive of Gelderland
Q28801899,member of the Provincial Executive of Groningen
Q28801908,member of the Provincial Executive of Limburg
Q28801907,member of the Provincial Executive of North Brabant
Q27516521,member of the Provincial Executive of North Holland
Q28530173,member of the Provincial Executive of Overijssel
Q27531790,member of the Provincial Executive of South Holland
Q27650845,member of the Provincial Executive of Utrecht
Q28801906,member of the Provincial Executive of Zeeland
Q13423495,mayor of Amsterdam
Q15730802,mayor of Rotterdam
Q21013163,mayor of The Hague
Q20992511,mayor of Utrecht
Q20890902,mayor of Eindhoven
Q30086319,mayor of Groningen
